"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Canola Oil - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1966 - 2017"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Canola Oil - Supply and use | Supply: Total, 1966 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17D23E3788547"
"ColumnCount:","2"
"RowCount:","52"

"Time","USA"
"1966",9
"1967",9
"1968",11
"1969",9
"1970",11
"1971",11
"1972",13
"1973",15
"1974",11
"1975",13
"1976",18
"1977",15
"1978",18
"1979",13
"1980",13
"1981",18
"1982",13
"1983",11
"1984",33
"1985",93
"1986",185
"1987",291
"1988",515
"1989",541
"1990",625
"1991",892.8
"1992",1058.8
"1993",1322.1
"1994",1445.1
"1995",1503.3
"1996",1564.1
"1997",1723.2
"1998",1809.1
"1999",2015
"2000",2158.6
"2001",1849.1
"2002",1569.1
"2003",1936.8
"2004",2056.9
"2005",2654
"2006",2763.7
"2007",3404.9
"2008",3551.2
"2009",3594.7
"2010",4460.7
"2011",4686.7
"2012",4222.6
"2013",5092.6
"2014",5519.2
"2015",5810.6
"2016",6409.8
"2017",6522



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
