"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Shortening - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1921 - 2010"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Shortening - Supply and use | Supply: Total, 1921 - 2010. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17D23E4A59752"
"ColumnCount:","2"
"RowCount:","90"

"Time","USA"
"1921",811
"1922",784
"1923",767
"1924",841
"1925",1173
"1926",1164
"1927",1202
"1928",1170
"1929",1250
"1930",1243
"1931",1199
"1932",970
"1933",979
"1934",1231
"1935",1583
"1936",1633
"1937",1642
"1938",1562
"1939",1461
"1940",1248
"1941",1464
"1942",1353
"1943",1484
"1944",1430
"1945",1494
"1946",1494
"1947",1415
"1948",1494
"1949",1554
"1950",1792
"1951",1507
"1952",1712
"1953",1769
"1954",2055
"1955",2095
"1956",1985
"1957",1930
"1958",2126
"1959",2379
"1960",2428
"1961",2576.3
"1962",2812
"1963",2748.9
"1964",2783.3
"1965",2913.1
"1966",3297.6
"1967",3344.6
"1968",3451.2
"1969",3623.7
"1970",3726.7
"1971",3647.9
"1972",3858.6
"1973",3763.3
"1974",3817.6
"1975",3821.4
"1976",4038.1
"1977",3968.8
"1978",4157.6
"1979",4313.1
"1980",4309.7
"1981",4421.2
"1982",4499.4
"1983",4496
"1984",5198.7
"1985",5634.5
"1986",5500.4
"1987",5374.2
"1988",5466.8
"1989",5460.1
"1990",5707.6
"1991",5840.5
"1992",5865.8
"1993",6625.6
"1994",6427.2
"1995",6064.8
"1996",6035.1
"1997",5736.8
"1998",5815.3
"1999",6037.2
"2000",9129.5
"2001",9548.5
"2002",9835.8
"2003",9762.2
"2004",9793.5
"2005",8854.7
"2006",7676.6
"2007",6610.5
"2008",5791.7
"2009",5252.4
"2010",5061.1



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
