"Title:","Boneless Red Meat, Poultry, and Fish from the Food Availability Database"
"SubTitle:","USA - Category: Leading Meat - Per capita availability, boneless (trimmed equivalent) - Demographic Indicator: Total"
"Time:","1921 - 2017"
"Unit of Measure:","Pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Boneless Red Meat, Poultry, and Fish: Boneless Red Meat, Poultry, and Fish |  | Leading Meat - Per capita availability, boneless (trimmed equivalent) | Total, 1921 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-004 doi:https://doi.org/10.6068/DP17D23E0800442"
"ColumnCount:","2"
"RowCount:","97"

"Time","USA"
"1921",87.5
"1922",91.1
"1923",97
"1924",96.1
"1925",92.1
"1926",91
"1927",89.9
"1928",87.5
"1929",87.1
"1930",85.9
"1931",85.3
"1932",85.7
"1933",89.3
"1934",93
"1935",75.6
"1936",85
"1937",81.9
"1938",82.1
"1939",87.3
"1940",92.9
"1941",95.9
"1942",100.9
"1943",110.6
"1944",115.4
"1945",106.4
"1946",105
"1947",105
"1948",98.7
"1949",100.1
"1950",101.8
"1951",101.3
"1952",104.1
"1953",108.8
"1954",108.8
"1955",122.2
"1956",127.3
"1957",122.6
"1958",120.5
"1959",127.4
"1960",126.8
"1961",128.3
"1962",129.6
"1963",134.9
"1964",140.6
"1965",136.9
"1966",140.9
"1967",147.4
"1968",150.8
"1969",151.1
"1970",155.7
"1971",159.5
"1972",156.9
"1973",146.2
"1974",154.7
"1975",148
"1976",158
"1977",157.6
"1978",154.9
"1979",154.9
"1980",156.8
"1981",156.4
"1982",151.2
"1983",155.5
"1984",156.3
"1985",158.6
"1986",156.8
"1987",154.5
"1988",156.9
"1989",154
"1990",152.7
"1991",153.8
"1992",158.1
"1993",157.6
"1994",160.6
"1995",160.1
"1996",157.9
"1997",157.4
"1998",162.3
"1999",167.2
"2000",166.5
"2001",164.1
"2002",169.5
"2003",168
"2004",170.3
"2005",169.5
"2006",169.7
"2007",169.2
"2008",164.1
"2009",160.7
"2010",159.1
"2011",155.2
"2012",153.8
"2013",154.8
"2014",152.9
"2015",160.3
"2016",162.7
"2017",165.1



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
