"Title:","Coffee, Tea, Cocoa, and Spices from the Food Availability Database"
"SubTitle:","USA - Category: Cocoa - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1921 - 2015"
"Unit of Measure:","Million Pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Coffee, Tea, Cocoa, and Spices: Coffee, Tea, Cocoa, and Spices |  | Cocoa - Supply and use | Supply: Total, 1921 - 2015. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-003 doi:https://doi.org/10.6068/DP17CE86D71AC41"
"ColumnCount:","2"
"RowCount:","95"

"Time","USA"
"1921",276
"1922",334
"1923",404
"1924",368
"1925",371
"1926",422
"1927",421
"1928",371
"1929",504
"1930",365
"1931",412
"1932",475
"1933",470
"1934",435
"1935",601
"1936",612
"1937",600
"1938",445
"1939",646
"1940",681
"1941",660
"1942",226
"1943",580
"1944",692
"1945",637
"1946",614
"1947",601
"1948",554
"1949",641
"1950",654
"1951",610
"1952",588
"1953",621
"1954",596
"1955",592
"1956",661
"1957",625
"1958",535
"1959",630
"1960",698
"1961",932
"1962",772
"1963",766
"1964",747
"1965",937
"1966",878
"1967",805
"1968",711
"1969",671
"1970",840
"1971",907
"1972",933
"1973",814
"1974",725
"1975",756
"1976",833
"1977",695
"1978",856
"1979",748
"1980",713
"1981",944
"1982",849
"1983",967
"1984",999
"1985",1235
"1986",1119
"1987",1266
"1988",1162
"1989",1211.5
"1990",1552
"1991",1646.5
"1992",1610.4
"1993",1690.4
"1994",1380.9
"1995",1272.3
"1996",1691.4
"1997",1570.4
"1998",1769.9
"1999",1879.7
"2000",2002.7
"2001",1936.9
"2002",1679.6
"2003",1969
"2004",2217.4
"2005",2530
"2006",2317.3
"2007",2027.8
"2008",2036.6
"2009",2165.4
"2010",2185.3
"2011",2341.6
"2012",2163.3
"2013",2283.3
"2014",2263.8
"2015",2391.3



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
